,date,tweet,hashtags
0,2020-05-18 23:59:30,"@OfficialIGNOU still await your directions reg. MAPC project and internship report submissions. Hope they can be submitted online, and given the lockdown extension, await details reg. fresh timelines for submission.  https://twitter.com/ELGINEEDDISON/status/1259723139132645379 …",[]
1,2020-05-18 23:59:05,"It had to happen coz this is not lockdown 4.0, everything is like normal; no social distancing nothing... So why they approved it as lockdown 4.0 ... It will reach its peak & lots more life is yet to perish. Either withdraw or follow strictly!!!🙏 #COVID__19 #Siliguri","['#covid__19', '#siliguri']"
2,2020-05-18 23:57:33,"Projects like clean ganga mission and BS VI norms is on peak without spending a penny. Now, we have already achieved what we wanted. Now how to maintain? Take actions. Otherwise, No use of lockdown. @moefcc @cleangangasmcg @PrakashJavdekar @rajeshchudasma @cleanganganmcg pic.twitter.com/7t9atrtpLr",[]
3,2020-05-18 23:57:04,"#CurrentMood after reading that Lockdowns are back on from 8pm to 6am starting Wednesday: 

#lockdown  pic.twitter.com/a8yLVGkfz1","['#currentmood', '#lockdown']"
4,2020-05-18 23:56:48,Hiring #Dotnet #FullStack professionals for Bangalore location. Candidates who are willing to relocate after lockdown relaxed are welcome to apply. Relevant exp 5+yrs. share your profile with ilayaraja.ramanathan@techmahindra.com @tech_mahindra,"['#dotnet', '#fullstack']"
5,2020-05-18 23:56:21,"@DrSJaishankar you have to help this guy out. I’m sure there are many like him.

 https://www.instagram.com/tv/CAVeIabB3X-/?igshid=zw9bh0n5pc95 …
#IndianStuckAbroad #ExternalAffairs #India #Covid19 #lockdown @indiainfrance @PMOIndia 
I’m sure if @SushmaSwaraj were alive she would’ve helped","['#indianstuckabroad', '#externalaffairs', '#india', '#covid19', '#lockdown']"
6,2020-05-18 23:55:41,"After the announcement by Shri Vijay Rupani about lockdown 4.0 guidelines , received 100 WhatsApp msg saying - #weareopen. Waiting for 8 more , so that I can make a rosary of 108 beads and chant their names.

#lockdown4guidelines
#coronavirus
#mondaythoughts","['#weareopen', '#lockdown4guidelines', '#coronavirus', '#mondaythoughts']"
7,2020-05-18 23:55:10,Those who don't observe social distancing etc. are responsible for convid's spread whether or not there is lockdown.,[]
8,2020-05-18 23:54:33,Waiting eagerly for #GulaboSitabo on 12June at #AmazonPrime.This is  the first film World can see together.. Soo thrilling.. In the #LockDown nothing could be soo Sweeter than the release of the Film of #ShahenShah..We are living the History..Enjoying the #BachchanEra 2 infinity pic.twitter.com/29C2VGqNbs,"['#gulabositabo', '#amazonprime', '#lockdown', '#shahenshah', '#bachchanera']"
9,2020-05-18 23:53:33,"Cheers to the easing of lockdown restrictions 🥂. Glass & booze courtesy of certified alcoholics singh_arpreet richie_arora & @SahilSachdeva07 ❤.
#enoughsaid #baldandbearded #hangingon #instapic #scruffy #lockdown2020…  https://www.instagram.com/p/CAVtCbhlJR-/?igshid=rtzqcaykc3bh …","['#enoughsaid', '#baldandbearded', '#hangingon', '#instapic', '#scruffy', '#lockdown2020']"
10,2020-05-18 23:52:42,BREAKING: here we go with round 2 of the lockdown! UAE is tightening things up again with amending timings to stay home in place from 8pm-6am starting Wednesday and a Dh3000 dirham fine for not wearing a mask in public #COVID19 #UAE #EidAtHome,"['#covid19', '#uae', '#eidathome']"
11,2020-05-18 23:52:25,"Hay what's up guys ❗The effect in lockdown to my hear 
To my studio........ @ Kakdwip, West Bengal, India  https://www.instagram.com/p/CAVs9PPAbJz/?igshid=zwdjvm4jexyy …",[]
